iter	Passed	Remaining
864	25494	3978
865	25510	3947
866	25525	3915
867	25539	3883
868	25558	3852
869	25578	3822
870	25596	3790
871	25613	3759
872	25632	3728
873	25648	3697
874	25668	3666
875	25686	3636
876	25705	3605
877	25721	3574
878	25745	3544
879	25764	3513
880	25780	3482
881	25802	3451
882	25820	3421
883	25835	3390
884	25853	3359
885	25871	3328
886	25895	3299
887	25918	3269
888	25941	3239
889	25961	3208
890	25984	3178
891	26001	3148
892	26019	3117
893	26040	3087
894	26059	3057
895	26079	3027
896	26098	2996
897	26117	2966
898	26136	2936
899	26162	2906
900	26179	2876
901	26200	2846
902	26218	2816
903	26236	2786
904	26256	2756
905	26274	2726
906	26292	2695
907	26309	2665
908	26327	2635
909	26347	2605
910	26367	2575
911	26388	2546
912	26406	2516
913	26424	2486
914	26445	2456
915	26462	2426
916	26479	2396
917	26499	2367
918	26517	2337
919	26541	2307
920	26558	2278
921	26580	2248
922	26599	2219
923	26614	2189
924	26640	2160
925	26657	2130
926	26676	2100
927	26692	2070
928	26709	2041
929	26729	2011
930	26749	1982
931	26767	1952
932	26787	1923
933	26802	1893
934	26823	1864
935	26840	1835
936	26856	1805
937	26873	1776
938	26888	1746
939	26905	1717
940	26920	1687
941	26937	1658
942	26953	1629
943	26970	1599
944	26988	1570
945	27004	1541
946	27019	1512
947	27051	1483
948	27081	1455
949	27107	1426
950	27129	1397
951	27158	1369
952	27184	1340
953	27198	1311
954	27236	1283
955	27261	1254
956	27294	1226
957	27324	1197
958	27351	1169
959	27376	1140
960	27408	1112
961	27440	1083
962	27467	1055
963	27496	1026
964	27526	998
965	27553	969
966	27583	941
967	27601	912
968	27625	883
969	27642	854
970	27669	826
971	27699	797
972	27730	769
973	27757	740
974	27777	712
975	27793	683
976	27812	654
977	27840	626
978	27871	597
979	27897	569
980	27929	540
981	27952	512
982	27975	483
983	27999	455
984	28031	426
985	28055	398
986	28081	369
987	28102	341
988	28131	312
989	28162	284
990	28193	256
991	28220	227
992	28249	199
993	28276	170
994	28297	142
995	28321	113
996	28337	85
997	28353	56
998	28373	28
999	28394	0
40	129585	8124
941	129636	7981
942	129697	7839
943	129725	7695
944	129764	7552
945	129786	7408
946	129826	7265
947	129850	7122
948	129869	6979
949	129918	6837
